ars_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_free_parking,d_cloth_storage,d_sound_system,d_children,d_barbecue,d_cooking,d_amendities,d_ac,d_baby_utilities,d_bath,d_location,d_bike,d_security,d_mandatory_cleaning,d_coffee_maker,d_fridge,d_office,d_laundry,d_wifi,d_eletric_car_charger,d_videogame,d_garden_balcony_backyard,d_luggage_storage,d_paid_parking,d_pets,d_swimming_pool,d_self_checkin,d_sauna,d_smoking,d_instant_bookable,f_neighbourhood_cleansed,f_property_type,price,id,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,ln_n_minimum_nights,f_minimum_nights,ln_n_reviews_per_month
5414,100,2,1,95,123,1.06,2,1,3472,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,Palermo,Entire apartment,"$5,414.00",41608,8.596743470174246,4,0.6931471805599453,0.4804530139182014,0,1,4.820281565605037,2,8.15248607578024,66.4630292157907,541.838920235909,12054784,41854210048,4.553876891600541,0.6931471805599453,2,0.058268908123975824
6664,NA,4,1.5,98,101,0.81,7,3,3732,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Recoleta,Entire apartment,"$6,664.00",48089,8.804475183846678,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,1,4.624972813284271,2,8.224699561967235,67.64568288462402,556.3654183901417,13927824,51978639168,4.584967478670572,1.9459101490553132,3,-0.21072103131565253
5831,NA,2,1,NA,0,NA,4,1,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Monserrat,Entire apartment,"$5,831.00",52511,8.670943791222156,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1.3862943611198906,3,NA
1916,100,2,1,94,77,0.62,3,1,3705,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,Villa Crespo,Entire apartment,"$1,916.00",53905,7.557994958530806,4,0.6931471805599453,0.4804530139182014,0,1,4.356708826689592,2,8.217438537730187,67.52629612137324,554.8931880579529,13727025,50858627625,4.543294782270004,1.0986122886681098,3,-0.4780358009429998
4165,50,5,2,92,13,0.15,14,4,2536,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,Palermo,Entire apartment,"$4,165.00",65519,8.334471554600944,25,1.6094379124341003,2.5902903939802346,1.3862943611198906,2,2.6390573296152584,1,7.8383433155571165,61.43962593253893,481.5848812386462,6431296,16309766656,4.5217885770490405,2.6390573296152584,3,-1.8971199848858813
6176,100,2,1,98,263,2.31,3,1,3409,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,Palermo,Entire apartment,"$6,176.00",66939,8.728426091704613,4,0.6931471805599453,0.4804530139182014,0,1,5.575949103146316,2,8.134174272137903,66.16479108951019,538.1959414016729,11621281,39616946929,4.584967478670572,1.0986122886681098,3,0.8372475245337022
6247,100,3,1,96,142,1.19,3,1,3578,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,Palermo,Entire apartment,"$6,247.00",68489,8.73985662749357,9,1.0986122886681098,1.206948960812582,0,1,4.962844630259907,2,8.182559264068665,66.95427610999593,547.8573322528586,12802084,45805856552,4.564348191467836,1.0986122886681098,3,0.17395330712343798
1594,100,4,1,93,201,1.84,1,3,3271,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,Recoleta,Entire apartment,"$1,594.00",69063,7.374001859350161,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,1,5.308267697401205,2,8.092851027538384,65.49423775392907,530.035109304728,10699441,34997871511,4.532599493153256,0,1,0.6097655716208943
5831,0,4,2,NA,0,NA,7,3,NA,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,Monserrat,Entire apartment,"$5,831.00",69196,8.670943791222156,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,2,0,0,NA,NA,NA,NA,NA,NA,1.9459101490553132,3,NA
2499,NA,2,1,97,39,0.33,20,1,3553,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Palermo,Entire apartment,"$2,499.00",70082,7.823645930834952,4,0.6931471805599453,0.4804530139182014,0,1,3.6888794541139363,1,8.175547596021026,66.83957849480518,546.4501552822632,12623809,44852393377,4.574710978503383,2.995732273553991,3,-1.1086626245216111
4165,NA,2,1,90,92,0.77,3,1,3583,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,Recoleta,Entire apartment,"$4,165.00",71801,8.334471554600944,4,0.6931471805599453,0.4804530139182014,0,1,4.532599493153256,2,8.183955717304954,66.97713118280845,548.1378756722291,12837889,45998156287,4.499809670330265,1.0986122886681098,3,-0.2613647641344075
